state,report_date,source,mail_sent_req_2020,mail_accept_2020,mail_reject_2020,total_early_2020,in_person_2020,total_ballots_2016,total_early_2016
MA,10/19/2020,Communication from Massachusetts Secretary of State's office,1856471,809240,0,809240,0,3378801,0
WA,10/17/2020,https://www.sos.wa.gov/elections/research/data-and-statistics.aspx,4630377,154071,0,154071,0,3363440,3363440
CA,10/19/2020,https://docs.google.com/forms/d/e/1FAIpQLSfipraqZymaSWDDYjVkidhZ0fpvHGpLuALrX9FxSr0JKeIDGw/viewform,21574856,3989304,0,3989304,0,14610509,0
OR,10/19/2020,https://sos.oregon.gov/elections/Documents/statistics/Unofficial-Daily-Ballot-Returns-10-19-2020.pdf,2950429,88406,0,88406,0,2056310,2056310
WI,10/20/2020,https://elections.wi.gov/index.php/elections-voting/statistics,1416108,915965,0,915965,0,2976150,0
ME,10/16/2020,https://www.maine.gov/sos/cec/elec/data/index.html,390705,223101,0,223101,0,771892,0
MI,10/20/2020,Data provided by Michigan Secretary of State's office,2961605,1672433,1077,1672433,0,4874619,0
NV,10/19/2020,https://www.nvsos.gov/sos/elections/voters/election-turnout-statistics,1788440,159985,0,205004,45019,1125429,0
NM,10/20/2020,Data Provided by New Mexico Department of State,375963,168302,0,325035,126584,804043,0
CO,10/19/2020,Data provided by Colorado Secretary of State's office,4111226,904863,0,908231,3368,2859216,2859216
WY,10/19/2020,Communication from Wyoming Secretary of State's Office,104889,75538,0,75538,0,258788,0
KS,10/19/2020,https://twitter.com/BACaskey/status/1316432268290859008,477668,9620,0,30271,20651,1225667,0
NE,10/20/2020,Data provided by Nebraska Secretary of State's office,495369,288115,0,288115,0,860573,0
OK,10/16/2020,https://twitter.com/OKelections/status/1317098006617968640,309319,141771,0,141771,0,1452992,0
MO,,,0,0,0,0,0,2811549,0
IL,10/20/2020,https://elections.il.gov/VotingAndRegistrationSystems/PreElectionCounts.aspx?MID=l0hlXuSrKL0%3d&T=637317257975604269,2323839,804141,0,1212056,273552,5666118,0
IN,10/19/2020,Communication from Indiana Secretary of State's Office,880294,339715,0,677922,338207,2807676,0
VT,10/19/2020,https://sos.vermont.gov/elections/election-info-resources/elections-results-data/,449220,148454,0,148454,0,320467,0
AR,,,0,0,0,0,0,1137772,0
TX,10/19/2020,https://earlyvoting.texas-election.com/Elections/getElectionDetails.do,,637408,0,4708734,3997049,8975000,0
RI,10/19/2020,https://app.powerbigov.us/view?r=eyJrIjoiM2I0ODBmMzYtZmEwZS00MTQwLTg3NWMtZWQ5ZTZjOGVkOGFkIiwidCI6IjJkMGYxZGI2LWRkNTktNDc3Mi04NjVmLTE5MTQxNzVkMDdjMiJ9,20279,20279,0,51830,31551,469589,0
AL,10/20/2020,https://www.sos.alabama.gov/newsroom/9-days-left-apply-absentee-ballot-general-election,217427,145574,0,145574,0,2134061,0
MS,10/13/2020,https://newsms.fm/thousands-of-mississippians-choosing-to-vote-absentee/,91474,58796,0,58796,0,1209357,0
NC,10/20/2020,https://dl.ncsbe.gov/?prefix=ENRS/2020_11_03/,1386489,641446,5135,1853540,1212094,4769640,3146722
VA,10/19/2020,https://results.elections.virginia.gov/vaelections/2020%20November%20General/Site/Statistics/Absentee.html or https://www.vpap.org/elections/early-voting/,1951531,631608,0,1444036,812428,3984631,0
IA,10/19/2020,Data provided by Iowa Secretary of State's office,783018,513783,0,513783,0,1581371,0
MD,10/20/2020,https://elections.maryland.gov/press_room/index.html,1628113,695657,0,695657,0,2807322,0
DE,,,0,0,0,0,0,445228,0
PA,10/20/2020,Data provided by Pennsylvania Secretary of State's office,2824695,1028431,0,1028431,0,6165478,0
NJ,10/19/2020,Data Provided by New Jersey Department of State,6048870,1833691,0,1833691,0,3957303,0
NY,,,0,0,0,0,0,7786881,0
ID,,,0,0,0,0,0,710545,0
SD,10/16/2020,https://sdsos.gov/elections-voting/upcoming-elections/general-information/2020-General-Election-Absentee-Numbers.aspx,166915,87168,0,124460,37292,378995,0
CT,10/19/2020,Data provided by Connecticut Secretary of State's office,626577,371595,0,371595,0,1675955,0
NH,10/20/2020,https://sos.nh.gov/elections/information/notices/absentee-ballots-requested-for-general-election/,200834,136137,0,136137,0,755850,0
KY,10/16/2020,Communication from Kentycky Secretary of State's Office,657457,289220,0,398142,108922,1955195,0
OH,10/19/2020,Data scraped from county websites,2428091,1208912,0,1208912,0,5607641,0
TN,10/19/2020,https://sos.tn.gov/products/elections-executive/nov-3-election-information,146322,146322,0,909388,594751,2545271,0
WV,10/17/2020,http://services.sos.wv.gov/Elections/AbsenteeBallotStats,133554,85077,0,85077,0,714423,0
DC,10/16/2020,https://www.dcboe.org/,504043,81784,0,81784,0,312575,0
LA,10/20/2020,https://www.sos.la.gov/ElectionsAndVoting/Pages/EarlyVotingStatisticsStatewide.aspx,110572,110572,0,346493,235921,2049531,0
FL,10/20/2020,https://countyballotfiles.floridados.gov/VoteByMailEarlyVotingReports/PublicStats,5817518,2667266,0,3033702,339152,9580489,0
GA,10/19/2020,https://elections.sos.ga.gov/Elections/voterabsenteefile.do,1702810,712010,320,1694528,982518,4165405,0
SC,10/20/2020,https://www.scvotes.gov/fact-sheets,762365,575258,0,575258,0,2123584,0
MN,10/16/2020,https://www.sos.state.mn.us/election-administration-campaigns/data-maps/absentee-data/,1655912,911385,0,911385,0,2968281,0
MT,10/19/2020,https://sosmt.gov/elections/,734733,207593,0,207593,0,516901,0
ND,10/20/2020,https://vip.sos.nd.gov/abev.aspx?eid=313,200905,105207,0,105207,2840,349945,0
AZ,10/19/2020,Arizona state and county election offices,2686853,786917,0,786917,0,2661497,0
UT,10/20/2020,https://voteinfo.utah.gov/ballots-processed/,1640707,136909,0,136909,0,1152369,0
HI,8/8/2020,https://elections.hawaii.gov/resources/registration-voter-turnout-statistics/,795248,0,0,0,0,437664,0
AK,10/19/2020,https://www.elections.alaska.gov/doc/info/statstable.php,120847,38913,0,38913,0,321271,115034
